"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,7,7,7,7,5,7,7
Angola,AGO,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,83,83,83,68,68,66,66,66,66,66,36
Albania,ALB,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,40,41,39,37,10,7,7,6.5,5.5,5.5,5.5,5.5
"Arab World",ARB,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.46153846153846,42.5,40.05555555555556,38.833333333333336,32.25,20.75,20.1,20.125,19.575,21.023809523809526,19.761904761904763,18.952380952380953,18.69047619047619
"United Arab Emirates",ARE,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,18,18,15,15,13,8,8,8,8
Argentina,ARG,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,30,30,30,30.5,25.5,25,25,25,25,25,25
Armenia,ARM,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,17,17,17,14,14,8,8,4,3,3
"American Samoa",ASM,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",ATG,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,21,21,21,21,21,21,21,21,21
Australia,AUS,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,AUT,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,22,22
Azerbaijan,AZE,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,121,113,51,36,10,10,8,8,8,7,5,3
Burundi,BDI,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,7,5,5,4
Belgium,BEL,"Time required to start a business (days)",IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,34,34,27,4,4,4,4,4,4,4,4,4
